Ticket,Date,Location,Company Complaining About,Description
# 3795325 - Half time show Super Bowl,2/3/2020 2:27:31 AM,"Cary, North Carolina 27511",,The show was beyond vulgar. Should not have been allowed. It was just nasty. That is my last viewing of Super Bowl.
# 3795336 - Super Bowl half time show 2020,2/3/2020 3:10:21 AM,"Larkspur, California 94939",,The halftime show was not family friendly. It was SO inappropriate. No one wants to watch a bunch of whores dancing half naked on TV. This has to stop. Our children are watching. And women wanted to be respected? Bull crap. They just want attention. Please help make the half time show family friendly.
# 3795340 - Super Bowl halftime show,2/3/2020 3:16:00 AM,"Bakersfield, California 93312",,buttocks exposed. Also vulgar dancing on a stripper poll. This was an event when child ren were watching with family.
# 3795343 - 2020 Super Bowl half time show,2/3/2020 3:19:21 AM,"Marysville, California 95901",Fox,"I was disgusted by the Super Bowl half time show. I was looking forward to being entertained, instead i was subjected to close up shots of J. Lopez's crotch and buttocks along with some pseudo S and M and back door style sex. Kids watched this show. What are we teaching them by mainstreaming this garbage?"
"# 3795358 - Super Bowl LIV Halftime ""Show""",2/3/2020 3:47:29 AM,"Yorktown, Virginia 23693",,"The NFL's halftime ""performance"" featuring Jennifer Lopez and Shakira was inappropriate for TV viewing by children and families. It was oversexualized and indecent. It is disappointing and inexcusable that the sexual objectification of women continues no t only to be tolerated, but also actively promoted, by the media, the NFL and the performers themselves. Please consider fining the network."
# 3795363 - Super bowl Ha lf - time Show Inappropriate,2/3/2020 4:13:24 AM,"Zephyrhills, Florida 33542",Frontier Communications,"The performances by Shakira and Jennifer Lopez during the 2020 Superbowl Halftine show were absolutely inappropriate for family viewers. There was no warning for this abd it was akin to taking my 8 year old son to a strip club -- crotch and butt shots zoomed in, without cloth ing covering most, and dancing with ropes and stripper poles and in demeaning, objectifying, sadistic ways. I am disgusted and feel we as viewers were violated without proper warnings."
# 3795364 - Super Bowl halftime,2/3/2020 4:14:20 AM,"Salt Lake City, Utah 84105",,I invited my kids and grandkids over to watch the super bowl and spend some family time together. The halftime show was pornographic and a horrible example of objectifying women to be seen as sex objects rather than showcasing their musical talents.
# 3795366 - Indecent Super Bowl Halftime show,2/3/2020 4:20:01 AM,"Lindale, Texas 75771",,"Very inappropriate, sexy halftime performance at a time and show that families typically watch. This site would not let me change the date but everyone knows the Super Bowl ."
# 3795368 - Indecent Super Bowl Halftime show,2/3/2020 4:29:40 AM,"Georgetown, Texas 78633",,"The halftime show for the NFL 54 Superbowl wa s inappropriate for family viewing to say the least. I would describe it as raunchy and pornographic with scantily clothed women, pole dancing, crotch - rubbing and extended crotch - focused camera angles. Totally inappropriate family entertainment, which is w hat I thought sporting events were supposed to be."
# 3795372 - 2020 Super Bowl Halftime Show,2/3/2020 4:37:11 AM,"Aurora, Colorado 80015",,"I would like to suggest that the Super Bowl halftime show should be rated for audience acceptability, just like other TV programming. This year's Super Bowl Halftime Show was entirely inappropriate for younger audiences. Many of my friends and family were offended and embarrassed by the nature of the halftime show. If they had been forewarned that the performance was not appropriate for families to watch, they would have been a ble to make a different choice before being exposed to inappropriate entertainment."
# 3795374 - Super Bowl Halftime Show,2/3/2020 4:42:39 AM,"Heber Springs, Arkansas 72543",,Seriously? Half - naked women on stage with stripper poles performing simulated sex acts. There was no content warning jus t right there. Try explaining to 9 - year - old about stripper poles. This is beyond absurd that you guys do absolutely nothing. Why does you organization even exist? I tuned in to watch a football game and ended up trying to shy away from the topic of strippe rs! The haltime show violated every decency law in my state and hometown. Seriously!
# 3795377 - Super Bowl halftime show 2020,2/3/2020 4:44:43 AM,"Fort Collins, Colorado 80526",,"ancing belongs in a strip club, not on primetime tv! The entire show was unfit for tv and violates the fcc rules that were made clear after the 2004 halftime show!"
